Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YNL156C	YNL156C	3	3	3	sp|YNL156C|NSG2_YEAST NCSL01000011.1 87560-88459 ORF Verified Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammal	1	3	3	3	2	0	0	0	2	0	1	2	0	0	0	2	0	1	2	0	0	0	2	0	1	11.7	11.7	11.7	33.644	299	299	0	2.9056	By MS/MS				By MS/MS		By MS/MS	7.4	0	0	0	7.7	0	3.3	2038200	1686600	0	0	0	117270	0	234300	145590	120470	0	0	0	8376.7	0	16735	230250	0	0	0	0	0	0	1	0	0	0	1	0	1	3				1768	10403;11665;12717	True;True;True	11089;12427;13541	38637;38638;38639;43259;47148	33949;38066;41528	33949;38066;41528		
YNL160W	YNL160W	5	5	5	sp|YNL160W|YGP1_YEAST NCSL01000011.1 83035-84099 ORF Verified Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase e	1	5	5	5	5	3	4	0	5	4	3	5	3	4	0	5	4	3	5	3	4	0	5	4	3	18.9	18.9	18.9	37.358	354	354	0	14.071	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	18.9	11.3	16.4	0	18.9	14.4	9.3	18863000	7692000	2493000	2822600	0	3319700	1747300	788070	1571900	641000	207750	235220	0	276640	145610	65672	663910	1072300	1011900	0	762840	635300	946000	4	2	4	0	3	1	2	16				1769	926;5115;9613;12566;15460	True;True;True;True;True	994;5414;10254;13381;16443	3744;3745;3746;3747;3748;3749;19334;19335;19336;19337;35728;35729;35730;35731;35732;35733;46702;46703;46704;46705;46706;46707;57966;57967;57968;57969	3301;3302;3303;16999;17000;17001;31320;31321;31322;31323;41145;41146;50974;50975;50976;50977	3302;16999;31321;41146;50974		
YNL163C	YNL163C	4	4	4	sp|YNL163C|RIA1_YEAST NCSL01000011.1 73236-76568 ORF Verified Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis; with Sdo1p, a guanine nucleotide exchange factor (GEF), promotes release of Tif6p from 60S ribosomal subunits in the cytopla	1	4	4	4	4	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	5.2	5.2	5.2	124.49	1110	1110	0	3.503	By MS/MS							5.2	0	0	0	0	0	0	1206600	1206600	0	0	0	0	0	0	22766	22766	0	0	0	0	0	0	164720	0	0	0	0	0	0	4	0	0	0	0	0	0	4				1770	5133;8558;14470;14539	True;True;True;True	5432;9057;15406;15475	19422;31848;54206;54430	17066;27963;47771;47967	17066;27963;47771;47967		
YNL168C	YNL168C	4	4	4	sp|YNL168C|FMP41_YEAST NCSL01000011.1 64520-65299 ORF Uncharacterized Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondr	1	4	4	4	4	0	0	0	0	0	1	4	0	0	0	0	0	1	4	0	0	0	0	0	1	21.2	21.2	21.2	28.773	259	259	0	7.0501	By MS/MS						By MS/MS	21.2	0	0	0	0	0	3.1	5361000	5241200	0	0	0	0	0	119800	297830	291180	0	0	0	0	0	6655.4	624890	0	0	0	0	0	0	5	0	0	0	0	0	2	7				1771	4412;10463;12371;13930	True;True;True;True	4662;4663;11155;13175;14821	16625;16626;39047;45913;45914;51664	14614;14615;34310;40433;40434;45447;45448	14614;34310;40434;45447	1426	148
YNL169C	YNL169C	3	3	3	sp|YNL169C|PSD1_YEAST NCSL01000011.1 62657-64162 ORF Verified Phosphatidylserine decarboxylase of the mitochondrial inner membrane; converts phosphatidylserine to phosphatidylethanolamine; regulates mitochondrial fusion and morphology by affecting lipid mi	1	3	3	3	3	0	0	0	0	0	1	3	0	0	0	0	0	1	3	0	0	0	0	0	1	8	8	8	56.695	501	501	0	2.7369	By MS/MS						By MS/MS	8	0	0	0	0	0	2.4	167940	167940	0	0	0	0	0	0	6717.6	6717.6	0	0	0	0	0	0	22926	0	0	0	0	0	0	2	0	0	0	0	0	1	3				1772	6455;8394;9767	True;True;True	6826;8881;10416	24162;31171;31172;36229	21256;27351;27352;31792	21256;27351;31792		
YNL172W	YNL172W	5	5	5	sp|YNL172W|APC1_YEAST NCSL01000011.1 57127-62370 ORF Verified Largest subunit of the Anaphase-Promoting Complex/Cyclosome; APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/	1	5	5	5	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	4.5	4.5	4.5	196.2	1747	1747	0	6.2201					By MS/MS			0	0	0	0	4.5	0	0	2733500	0	0	0	0	2733500	0	0	30038	0	0	0	0	30038	0	0	0	0	0	0	658750	0	0	0	0	0	0	6	0	0	6				1773	6836;7192;8508;15524;15876	True;True;True;True;True	7226;7605;9004;16508;16881	25554;26709;31569;58212;59522	22463;23435;27707;51196;51197;52357	22463;23435;27707;51196;52357		
YNL173C	YNL173C	4	4	4	sp|YNL173C|MDG1_YEAST NCSL01000011.1 55448-56548 ORF Verified Plasma membrane protein; involved in G-protein mediated pheromone signaling pathway; overproduction suppresses bem1 mutations; MDG1 has a paralog, CRP1, that arose from the whole genome duplicat	1	4	4	4	4	0	0	0	0	0	1	4	0	0	0	0	0	1	4	0	0	0	0	0	1	13.1	13.1	13.1	40.263	366	366	0	4.181	By MS/MS						By MS/MS	13.1	0	0	0	0	0	3.8	2741700	2741700	0	0	0	0	0	0	144300	144300	0	0	0	0	0	0	374290	0	0	0	0	0	0	4	0	0	0	0	0	1	5				1774	5073;9436;9591;14155	True;True;True;True	5368;10049;10229;15065	19119;19120;35074;35638;52713	16797;16798;16799;30733;31247;46435	16798;30733;31247;46435	1427	1
YNL177C	YNL177C	3	3	3	sp|YNL177C|MRPL22_YEAST NCSL01000011.1 50184-51113 ORF Verified Mitochondrial ribosomal protein of the large subunit GN=MRPL22 PE=1 SV=1	1	3	3	3	3	0	0	0	0	0	2	3	0	0	0	0	0	2	3	0	0	0	0	0	2	12.6	12.6	12.6	34.925	309	309	0	21.449	By MS/MS						By MS/MS	12.6	0	0	0	0	0	7.8	1177400	1060500	0	0	0	0	0	116830	58868	53027	0	0	0	0	0	5841.3	144780	0	0	0	0	0	0	3	0	0	0	0	0	2	5				1775	2635;3252;7380	True;True;True	2792;3449;7804	10180;12480;12481;27352;27353	9083;11073;11074;23973;23974	9083;11073;23974		
YNL178W	YNL178W	19	19	19	sp|YNL178W|RPS3_YEAST NCSL01000011.1 49177-49899 ORF Verified Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; nascent Rps3p is bound by specific chaperone Yar1p during t	1	19	19	19	17	14	14	11	17	15	14	17	14	14	11	17	15	14	17	14	14	11	17	15	14	71.7	71.7	71.7	26.502	240	240	0	155.1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	68.8	61.7	61.7	47.1	70.4	67.1	60.4	939780000	444660000	72450000	106230000	7748200	208510000	76620000	23572000	58736000	27791000	4528100	6639100	484260	13032000	4788800	1473300	53528000	33915000	24685000	33218000	39000000	34551000	23439000	37	11	15	7	18	19	14	121				1776	111;693;694;2243;2415;2761;3431;4311;4731;4732;6292;7137;8257;8987;11334;13763;13764;15564;16148	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	112;735;736;2383;2562;2923;3638;4555;4994;4995;4996;6655;7548;8730;9503;12074;14643;14644;16551;17167;17168	459;460;461;462;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;2846;2847;2848;2849;2850;2851;2852;2853;2854;8602;8603;8604;8605;8606;8607;8608;8609;8610;8611;8612;8613;9268;9269;9270;9271;9272;9273;9274;9275;10652;10653;10654;10655;10656;10657;13111;13112;13113;13114;13115;13116;13117;13118;13119;16227;16228;16229;16230;16231;16232;16233;17801;17802;17803;17804;17805;17806;17807;17808;17809;17810;17811;17812;17813;17814;17815;17816;17817;17818;17819;17820;17821;17822;17823;23622;23623;23624;23625;23626;23627;23628;23629;26571;26572;30602;30603;30604;30605;30606;33311;33312;33313;33314;33315;33316;33317;33318;33319;33320;42048;42049;42050;42051;42052;42053;42054;51037;51038;51039;51040;51041;51042;51043;51044;51045;51046;58355;58356;58357;58358;58359;58360;58361;58362;60447;60448;60449;60450;60451;60452;60453;60454;60455	392;2479;2480;2481;2482;2483;2484;2485;2486;2487;2488;2489;2490;2491;2492;2493;2494;2495;2496;2497;7653;7654;7655;7656;7657;7658;7659;7660;7661;8271;8272;8273;8274;8275;8276;9480;9481;9482;9483;9484;11633;11634;11635;11636;11637;11638;11639;11640;11641;11642;14266;14267;14268;14269;14270;14271;15622;15623;15624;15625;15626;15627;15628;15629;15630;15631;15632;15633;15634;15635;15636;15637;15638;15639;15640;15641;20794;20795;20796;20797;20798;20799;20800;23319;23320;23321;23322;26852;26853;26854;29198;29199;29200;29201;29202;29203;29204;29205;29206;29207;29208;36964;36965;36966;36967;44918;44919;44920;44921;44922;44923;44924;44925;51301;51302;51303;51304;51305;51306;51307;51308;51309;53126;53127;53128	392;2484;2492;7656;8273;9481;11633;14268;15630;15641;20796;23320;26852;29199;36964;44918;44925;51304;53127	1428;1429	105;127
YNL180C	YNL180C	3	3	3	sp|YNL180C|RHO5_YEAST NCSL01000011.1 46170-47165 ORF Verified Non-essential small GTPase of the Rho/Rac family of Ras-like proteins; RAC1 ortholog; regulated by phosphorylation and ubiquitination; likely involved in protein kinase C (Pkc1p)-dependent signa	1	3	3	3	2	0	0	0	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	2	11.8	11.8	11.8	36.865	331	331	0	9.1794	By MS/MS						By MS/MS	7.9	0	0	0	0	0	7.6	1621100	1426700	0	0	0	0	0	194400	108070	95110	0	0	0	0	0	12960	194760	0	0	0	0	0	0	4	0	0	0	0	0	2	6				1777	6320;11189;15559	True;True;True	6683;11921;16545	23692;41640;58324;58325	20856;36620;51276;51277;51278;51279	20856;36620;51279		
YNL181W	YNL181W	3	3	3	sp|YNL181W|dubious844_YEAST NCSL01000011.1 44852-46075 ORF Uncharacterized Putative oxidoreductase; required for cell viability GN=dubious844 PE=1 SV=1	1	3	3	3	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	7.4	7.4	7.4	46.502	407	407	0	2.9252	By MS/MS						By MS/MS	5.4	0	0	0	0	0	2	1223100	1109300	0	0	0	0	0	113780	55596	50424	0	0	0	0	0	5171.9	151440	0	0	0	0	0	0	1	0	0	0	0	0	1	2				1778	3490;4846;13498	True;True;True	3702;5122;14361	13350;18235;50156	11838;16011;44137	11838;16011;44137		
YNL182C	YNL182C	3	3	3	sp|YNL182C|IPI3_YEAST NCSL01000011.1 42470-44137 ORF Verified Component of the Rix1 complex and pre-replicative complexes (pre-RCs); required for processing of ITS2 sequences from 35S pre-rRNA; component of the pre-60S ribosomal particle with the dynein-re	1	3	3	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	12.4	12.4	12.4	61.771	555	555	0	2.7317	By MS/MS							12.4	0	0	0	0	0	0	1404600	1404600	0	0	0	0	0	0	45308	45308	0	0	0	0	0	0	146130	0	0	0	0	0	0	4	0	0	0	0	0	0	4				1779	660;13754;14563	True;True;True	700;14633;15500	2711;51015;54501;54502	2360;44895;48034;48035	2360;44895;48034		
YNL189W	YNL189W	15	15	15	sp|YNL189W|SRP1_YEAST NCSL01000011.1 30793-32421 ORF Verified Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cot	1	15	15	15	14	3	4	1	9	6	2	14	3	4	1	9	6	2	14	3	4	1	9	6	2	43.4	43.4	43.4	60.441	542	542	0	161.56	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.9	9.2	13.1	2.4	30.1	15.5	3.9	48880000	15733000	3745400	5347100	98264	20486000	3260500	210340	2444000	786660	187270	267360	4913.2	1024300	163020	10517	1639900	1878400	1790800	0	4064300	1999000	0	11	2	3	2	9	4	2	33				1780	1205;2103;2271;3004;4711;5823;5994;7190;8182;9018;9256;11358;13129;15356;15927	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1283;2232;2411;3193;3194;4972;6157;6334;7603;8651;9535;9795;12098;13972;16332;16932	4959;8045;8688;8689;11589;11590;17718;17719;17720;17721;17722;17723;17724;21915;21916;21917;22523;22524;22525;22526;22527;26693;30365;30366;33430;33431;34178;42097;48671;48672;48673;57541;57542;57543;57544;57545;59681;59682;59683	4381;7177;7734;7735;7736;10312;10313;10314;15547;15548;15549;15550;15551;15552;15553;15554;15555;15556;19293;19809;19810;23422;26662;26663;29305;29937;37005;42856;50621;50622;50623;50624;50625;52476	4381;7177;7736;10314;15555;19293;19810;23422;26663;29305;29937;37005;42856;50624;52476	1430;1431	1;146
YNL194C	YNL194C	4	4	4	sp|YNL194C|dubious841_YEAST NCSL01000011.1 19260-20165 ORF Verified Integral membrane protein; required for sporulation and plasma membrane sphingolipid content; similar to SUR7; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; GFP-	1	4	4	4	4	1	1	0	1	0	3	4	1	1	0	1	0	3	4	1	1	0	1	0	3	15.6	15.6	15.6	33.982	301	301	0	11.215	By MS/MS	By matching	By matching		By MS/MS		By MS/MS	15.6	3.7	3.7	0	6.6	0	9	13605000	8796700	843070	492330	0	0	0	3473300	1046600	676670	64851	37871	0	0	0	267180	781300	0	0	0	0	0	3881900	3	0	0	0	1	0	3	7				1781	9214;9732;9788;15414	True;True;True;True	9734;10378;10437;16391	34049;34050;34051;36137;36138;36282;36283;36284;57761;57762;57763;57764	29822;29823;31708;31709;31831;31832;31833;50804	29822;31708;31831;50804	1432	79
YNL196C	YNL196C	1	1	1	sp|YNL196C|SLZ1_YEAST NCSL01000011.1 16826-17719 ORF Verified Sporulation-specific protein with a leucine zipper motif; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation GN=SLZ1 PE=1 SV=1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	3.7	3.7	3.7	34.205	297	297	0	4.6329	By MS/MS						By MS/MS	3.7	0	0	0	0	0	3.7	107080	0	0	0	0	0	0	107080	9735	0	0	0	0	0	0	9735	0	0	0	0	0	0	107080	1	0	0	0	0	0	1	2				1782	8289	True	8763	30740;30741	26985;26986	26986	1433	249
YNL197C	YNL197C	2	2	2	sp|YNL197C|WHI3_YEAST NCSL01000011.1 14153-16138 ORF Verified RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci; regulates genes involved in the cell cycle, sister chromatid cohesion, and stress response; acts as a cytoplasmic retention fac	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	4.1	4.1	4.1	71.284	661	661	0	6.206	By MS/MS						By MS/MS	4.1	0	0	0	0	0	1.7	462520	462520	0	0	0	0	0	0	30835	30835	0	0	0	0	0	0	63141	0	0	0	0	0	0	2	0	0	0	0	0	1	3				1783	10112;13947	True;True	10780;14838	37389;51710;51711	32773;45484;45485	32773;45485		
YNL200C	YNL200C	7	7	7	sp|YNL200C|dubious838_YEAST NCSL01000011.1 10258-10998 ORF Verified NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes 	1	7	7	7	7	2	3	0	2	2	1	7	2	3	0	2	2	1	7	2	3	0	2	2	1	36.2	36.2	36.2	27.521	246	246	0	24.415	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	36.2	12.6	19.5	0	12.6	12.6	4.5	21372000	14288000	1288200	2289200	0	2069700	1107700	328980	1644000	1099100	99089	176100	0	159200	85206	25306	2391400	368830	507540	0	390070	396260	316790	13	2	1	0	1	1	2	20				1784	3005;3646;3647;7716;10997;14981;15019	True;True;True;True;True;True;True	3195;3863;3864;8159;11719;15935;15974	11591;11592;11593;11594;13850;13851;13852;28674;28675;28676;28677;28678;41027;41028;56109;56110;56111;56112;56113;56263;56264	10315;10316;10317;10318;12254;12255;25150;25151;25152;25153;25154;25155;36112;36113;36114;49405;49534;49535;49536;49537	10317;12254;12255;25150;36114;49405;49534		
YNL201C	YNL201C	2	2	2	sp|YNL201C|PSY2_YEAST NCSL01000011.1 7175-9751 ORF Verified Subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form the active complex, Psy4p may provide additional substrate specificity; regulates recovery from the DNA damage checkpoint, the gene	1	2	2	2	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	4	4	4	98.052	858	858	0.0086622	1.0504	By MS/MS	By matching	By MS/MS		By matching			1.2	2.8	2.8	0	2.8	0	0	6172600	230160	1209300	1356800	0	3376300	0	0	150550	5613.7	29495	33094	0	82349	0	0	31421	0	0	0	0	0	0	1	0	1	0	0	0	0	2				1785	1656;1799	True;True	1750;1901	6480;6481;6482;7027	5778;6252	5778;6252		
YNL202W	YNL202W	3	3	3	sp|YNL202W|SPS19_YEAST NCSL01000011.1 6126-7004 ORF Verified Peroxisomal 2,4-dienoyl-CoA reductase; auxiliary enzyme of fatty acid beta-oxidation; homodimeric enzyme required for growth and sporulation on petroselineate medium; expression induced during la	1	3	3	3	3	1	1	0	0	1	1	3	1	1	0	0	1	1	3	1	1	0	0	1	1	12.7	12.7	12.7	31.11	292	292	0	6.4093	By MS/MS	By MS/MS	By MS/MS			By MS/MS	By MS/MS	12.7	4.1	4.1	0	0	4.1	3.4	2963400	2790800	0	0	0	0	0	172570	227950	214680	0	0	0	0	0	13274	344690	0	0	0	0	0	0	5	1	1	0	0	1	2	10				1786	9746;9994;12958	True;True;True	10395;10656;13796	36167;36168;36169;37062;37063;37064;37065;48057;48058	31733;31734;31735;32497;32498;32499;32500;42315;42316;42317	31735;32499;42317		
YNL206C	YNL206C	2	2	2	sp|YNL206C|RTT106_YEAST NCSL01000011.1 3333-4700 ORF Verified Histone chaperone; involved in regulation of chromatin structure in both transcribed and silenced chromosomal regions; affects transcriptional elongation; has a role in regulation of Ty1 transpo	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	5.5	5.5	5.5	51.736	455	455	0.0030976	1.4708	By MS/MS							5.5	0	0	0	0	0	0	419220	419220	0	0	0	0	0	0	16769	16769	0	0	0	0	0	0	57230	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1787	7634;14786	True;True	8075;15732	28274;55360	24797;48744	24797;48744		
YNL207W	YNL207W	2	2	2	sp|YNL207W|RIO2_YEAST NCSL01000011.1 1898-3175 ORF Verified Essential serine kinase involved in the processing of 20S pre-rRNA; involved in the processing of the 20S pre-rRNA into mature 18S rRNA; has similarity to Rio1p GN=RIO2 PE=1 SV=1	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	5.2	5.2	5.2	49.097	425	425	0.003088	1.4483	By MS/MS						By MS/MS	5.2	0	0	0	0	0	2.4	1074700	1074700	0	0	0	0	0	0	53735	53735	0	0	0	0	0	0	146710	0	0	0	0	0	0	1	0	0	0	0	0	1	2				1788	8981;14794	True;True	9497;15740	33283;55377;55378	29171;48758;48759	29171;48759		
YNL212W	YNL212W	4	4	4	sp|YNL212W|VID27_YEAST NCSL01000026.1 145231-147579 ORF Verified Cytoplasmic protein of unknown function; possibly involved in vacuolar protein degradation; not essential for proteasome-dependent degradation of fructose-1,6-bisphosphatase (FBPase); null mu	1	4	4	4	4	0	0	0	1	1	2	4	0	0	0	1	1	2	4	0	0	0	1	1	2	6.4	6.4	6.4	88.774	782	782	0	2.6533	By MS/MS				By MS/MS	By matching	By MS/MS	6.4	0	0	0	1.8	1.8	3.3	4520000	3292500	0	0	0	745370	239630	242470	107620	78393	0	0	0	17747	5705.5	5773.1	326170	0	0	0	0	0	365770	3	0	0	0	2	0	1	6				1789	4584;5589;10042;10819	True;True;True;True	4843;5917;10705;11534	17297;17298;17299;17300;21177;37198;37199;40346	15186;15187;15188;18623;32608;35503	15188;18623;32608;35503		
YNL216W	YNL216W	3	3	3	sp|YNL216W|RAP1_YEAST NCSL01000026.1 139459-141942 ORF Verified Essential DNA-binding transcription regulator that binds many loci; involved in transcription activation, repression, chromatin silencing, telomere length maintenance; relocalizes to cytosol u	1	3	3	3	3	0	0	0	0	0	1	3	0	0	0	0	0	1	3	0	0	0	0	0	1	5.8	5.8	5.8	92.442	827	827	0	16.535	By MS/MS						By MS/MS	5.8	0	0	0	0	0	1.7	2162000	2021300	0	0	0	0	0	140730	63589	59450	0	0	0	0	0	4139	275940	0	0	0	0	0	0	4	0	0	0	0	0	1	5				1790	989;5583;12200	True;True;True	1057;5911;12986	4002;21160;45160;45161	3520;18608;39773;39774;39775	3520;18608;39774		
YNL219C	YNL219C	6	6	6	sp|YNL219C|ALG9_YEAST NCSL01000026.1 133766-135433 ORF Verified Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of both the seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-link	1	6	6	6	6	1	0	0	0	0	2	6	1	0	0	0	0	2	6	1	0	0	0	0	2	14.6	14.6	14.6	63.75	555	555	0	2.9125	By MS/MS	By matching					By MS/MS	14.6	2.2	0	0	0	0	4	4043900	3396200	359330	0	0	0	0	288390	168500	141510	14972	0	0	0	0	12016	306860	0	0	0	0	0	445170	4	0	0	0	0	0	1	5				1791	313;6712;11200;11842;11843;15908	True;True;True;True;True;True	330;7098;11932;12609;12610;16913	1316;1317;25065;41684;43854;43855;59629;59630;59631	1152;1153;22041;36651;38592;38593;52443	1152;22041;36651;38592;38593;52443		
YNL220W	YNL220W	14	14	14	sp|YNL220W|ADE12_YEAST NCSL01000026.1 132190-133491 ORF Verified Adenylosuccinate synthase; catalyzes the first step in synthesis of adenosine monophosphate from inosine 5monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stra	1	14	14	14	13	5	3	1	6	3	7	13	5	3	1	6	3	7	13	5	3	1	6	3	7	37.4	37.4	37.4	48.279	433	433	0	30.872	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.4	16.6	8.3	2.5	20.8	8.3	19.4	52554000	35599000	4229800	4332800	0	5558400	1024300	1809700	2388800	1618100	192260	196940	0	252650	46558	82257	4327500	1497000	1456100	0	1132600	890170	1201400	17	5	3	1	6	2	5	39				1792	1355;2699;2806;7084;7585;7586;8666;13414;14423;14503;14778;15638;15709;15803	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1439;2856;2973;7489;8023;8024;9169;14274;15356;15439;15724;16634;16706;16807	5450;10419;10420;10814;10815;26346;26347;26348;26349;26350;28035;28036;28037;28038;28039;32175;32176;32177;32178;32179;32180;32181;49831;49832;49833;54039;54040;54041;54042;54043;54325;54326;55337;55338;58676;58969;58970;58971;58972;59263;59264;59265;59266	4848;9289;9290;9640;9641;23131;23132;23133;23134;23135;24562;24563;24564;24565;24566;28245;28246;28247;28248;43865;43866;43867;47624;47625;47626;47627;47628;47876;47877;48731;48732;51595;51853;51854;51855;51856;52121;52122;52123;52124;52125	4848;9290;9641;23133;24564;24566;28248;43866;47625;47876;48732;51595;51853;52124		
YNL222W	YNL222W	1	1	1	sp|YNL222W|SSU72_YEAST NCSL01000026.1 126868-127488 ORF Verified Phosphatase and transcription/RNA-processing factor; associates with TFIIB and cleavage/polyadenylation factor Pta1p; exhibits phosphatase activity on serine-5 and serine-7 of the RNA polymer	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	9.2	9.2	9.2	23.469	206	206	0	7.6554	By MS/MS						By MS/MS	9.2	0	0	0	0	0	9.2	826130	826130	0	0	0	0	0	0	82613	82613	0	0	0	0	0	0	112780	0	0	0	0	0	0	2	0	0	0	0	0	1	3				1793	14797	True	15743	55386;55387	48765;48766;48767	48767		
YNL223W	YNL223W	3	3	3	sp|YNL223W|ATG4_YEAST NCSL01000026.1 125144-126628 ORF Verified Conserved cysteine protease required for autophagy; cleaves Atg8p to a form required for autophagosome and Cvt vesicle generation GN=ATG4 PE=1 SV=1	1	3	3	3	3	0	0	0	1	0	0	3	0	0	0	1	0	0	3	0	0	0	1	0	0	8.7	8.7	8.7	55.112	494	494	0	2.5035	By MS/MS				By matching			8.7	0	0	0	3	0	0	1753900	1235000	0	0	0	518830	0	0	92308	65002	0	0	0	27307	0	0	168600	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1794	834;7830;13360	True;True;True	894;8280;14215	3362;3363;29093;49499	2955;25531;43585	2955;25531;43585		
